;;[2014-04-21T20:41:08+0900]
ZB1	經部
ZB2	史部
ZB3	子部
ZB4	集部
ZB5	道部
ZB6	佛部
ZB1a	易類
ZB1b	書類
ZB1c	詩類
ZB1d	禮類
ZB1e	春秋類
ZB1f	孝經類
ZB1g	五經總義類
ZB1h	四書類
ZB1i	樂類
ZB1j	小學類
ZB2a	正史類
ZB2b	編年類
ZB2c	紀事本末類
ZB2d	別史類
ZB2e	雜史類
ZB2f	詔令奏議類
ZB2g	傳記類
ZB2h	史鈔類
ZB2i	載記類
ZB2j	時令類
ZB2k	地理類
ZB2l	職官類
ZB2m	政書類
ZB2n	目錄類
ZB2o	史評類
ZB3a	儒家類
ZB3b	兵家類
ZB3c	法家類
ZB3d	農家類
ZB3e	醫家類
ZB3f	天文算法類
ZB3g	術數類
ZB3h	藝術類
ZB3i	譜錄類
ZB3j	雜家類
ZB3k	類書類
ZB3l	小說家類
ZB3m	釋家類
ZB3n	道家類
ZB4a	楚辭類
ZB4b	別集類
ZB4c	總集類
ZB4d	詩文評類
ZB4e	詞曲類
ZB5	道部
ZB5a	洞真部
ZB5b	洞玄部
ZB5c	洞神部
ZB5d	太玄部
ZB5e	太平部
ZB5f	太清部
ZB5g	正一部
ZB5h	續道藏
ZB6a	阿含部類
ZB6b	本緣部類
ZB6c	般若部類
ZB6d	法華部類
ZB6e	華嚴部類
ZB6f	寶積部類
ZB6g	涅槃部類
ZB6h	大集部類
ZB6i	經集部類
ZB6j	密教部類
ZB6k	律部類
ZB6l	毘曇部類
ZB6m	中觀部類
ZB6n	瑜伽部類
ZB6o	論集部類
ZB6p	淨土宗部類
ZB6q	禪宗部類
ZB6r	史傳部類
ZB6s	事彙部類
ZB6t	敦煌寫本部類
ZB6u	新編部類
